epoch,train_loss,val_loss,mean_iou,mean_dice,iou_oil,dice_oil,precision_oil,recall_oil
1,0.299070,0.210177,0.8330351919781007,0.9075200253394476,0.7675701400054311,0.8685031757812705,0.816102234215774,0.9280950405607942
2,0.240840,0.209158,0.8504724194510895,0.9178112674632015,0.7843050452792752,0.8791154263160394,0.8991695312315676,0.8599363361589413
3,0.231952,0.184092,0.8542350651431962,0.9200410524536541,0.7887483497931507,0.8818997371926136,0.9133284960457216,0.8525620273955995
4,0.221988,0.182603,0.8618533570442125,0.924680207511508,0.8017297844440059,0.8899556319333543,0.8932936908197855,0.8866424274804919
5,0.221662,0.178537,0.8581991012164629,0.9225934191757115,0.7989422169465341,0.8882355524488523,0.8646770907173432,0.9131136880052637
6,0.210901,0.208905,0.8469174287759731,0.915925023398003,0.7857379202736374,0.8800148233994322,0.8336061835338713,0.9318954362697234
7,0.218755,0.177034,0.8599314706116278,0.9236751739288708,0.8027762961266314,0.8906000127153239,0.8520073611243377,0.9328547391111236
8,0.213230,0.178674,0.8576736700126293,0.9223275189345108,0.799491600206122,0.8885749731919219,0.8517240477988255,0.9287589099827157
9,0.210685,0.172503,0.8664984453549148,0.9274828834287733,0.8097339006759308,0.8948651515822267,0.8801151951026784,0.9101179274643545
10,0.209700,0.163799,0.8668668714233307,0.9276573079365205,0.8090361208181318,0.8944388799182708,0.8947151540629771,0.8941627763392275
11,0.207349,0.183442,0.8577050326156745,0.9221452519837436,0.7942505477665847,0.8853284718293525,0.9092647513095322,0.8626201067137093
12,0.201528,0.194922,0.840630042673892,0.9122335989453436,0.7799568717334994,0.8763772697187876,0.8074719834546367,0.9581397251274613
13,0.201569,0.174344,0.8659704852986917,0.9271390393243584,0.8080797803798397,0.8938541198774745,0.8902701780655049,0.8974670339197249
14,0.201939,0.165017,0.8699248670690372,0.9294639724098888,0.8135119755080517,0.8971674700743543,0.8952813747336743,0.899061529091844
15,0.196210,0.196572,0.8535414456372079,0.9196716056869523,0.7889262290723581,0.882010913866977,0.8986236332953764,0.8660012789773104
16,0.193449,0.162455,0.8678809083550996,0.9282608958811898,0.8106242816476704,0.8954086055998334,0.8936390797700208,0.8971851531328731
17,0.196034,0.159725,0.8710977162354785,0.9301359939211751,0.814677936444962,0.8978760584271538,0.9024680998096953,0.8933305119639711
18,0.197728,0.172511,0.8659547738907545,0.9271589733863663,0.8088815170505216,0.8943443884256678,0.8806915776577225,0.9084271666852262
19,0.192761,0.174175,0.860530584607256,0.9240285918242451,0.8035492448293288,0.8910754692538146,0.8530257161046528,0.9326781706628539
20,0.196552,0.181610,0.8620041587890701,0.9248853166087647,0.8051250586671586,0.8920435233020749,0.8587885539722483,0.9279777124860686
21,0.188354,0.164786,0.8702964678989202,0.9296828074506928,0.814050160821953,0.897494654120373,0.8954172710898061,0.8995816986925625
22,0.188119,0.160737,0.8719002049035399,0.9306408972985287,0.8168138009390804,0.8991717263672072,0.8905304572696282,0.9079823399416626
23,0.185106,0.172325,0.85942065506403,0.9233003064209786,0.8000999538117908,0.8889505853467123,0.8713274768146861,0.9073012852226987
24,0.187803,0.173145,0.85780400800446,0.9221749146099161,0.7936503440837458,0.8849554727336422,0.9188203061460124,0.8534982069308168
25,0.189184,0.165869,0.8673999620916657,0.9280543920672986,0.8121669615308068,0.8963489333728257,0.8679086187190977,0.9267163046972728
26,0.189279,0.161133,0.8687640725278686,0.9287667396449168,0.8114618340108294,0.8959193274463194,0.899441339208756,0.8924247909226986
27,0.189726,0.165990,0.8650670935333983,0.9266258683228958,0.8073864355047679,0.8934297830771097,0.8828016444446055,0.9043169466170188
28,0.183201,0.175830,0.862434052942467,0.9251425789544512,0.8058002632455452,0.8924577979596581,0.8583486020232969,0.9293900504954328
29,0.185965,0.158003,0.8714263980765039,0.9303615094827216,0.8160976813255236,0.8987376502015844,0.8907423322502305,0.9068778003825758
30,0.184690,0.173178,0.8588533955439455,0.9230435114934923,0.8015232979874582,0.8898284012012129,0.8488978994978937,0.9349058671861565
31,0.181205,0.162358,0.867934904609518,0.9283107319907766,0.8112147189100014,0.895768690968009,0.8875079370303784,0.904184668731045
32,0.182368,0.163147,0.8708530876271885,0.9300128607426703,0.8149282719130212,0.8980280758468187,0.894724177536538,0.9013564648362978
33,0.186149,0.159620,0.8693621044383468,0.9291181612319767,0.8122900706223067,0.8964239045280221,0.9001591898820636,0.8927194908234011
34,0.179830,0.166156,0.8670474417806876,0.9278442965974583,0.8115988674509423,0.8960028426082245,0.8684492858618015,0.9253620893185557
35,0.179209,0.167933,0.8666020485920092,0.9275485915726844,0.8100112927044172,0.8950345182588818,0.8787050876690643,0.9119823575461131
36,0.183213,0.159909,0.8698450787234862,0.9294276134554772,0.8137048409263193,0.8972847428810226,0.891464966448812,0.9031810054684177
37,0.174110,0.170254,0.8666161416273734,0.9275332823225169,0.8093576480237057,0.8946353407881928,0.8864508172782706,0.9029724067002542
38,0.169724,0.162528,0.8691816134067081,0.9290716878064941,0.8137648097640493,0.8973212021573083,0.8792187822474247,0.9161847215443968
39,0.181463,0.171022,0.8619188393531287,0.9248084608296128,0.8042663264814468,0.8915161965582655,0.8662569270703305,0.9182927846482487
40,0.174920,0.164959,0.8656456969303548,0.9269860564589298,0.8087188702234654,0.8942449637002448,0.877396131353089,0.9117535695468715
41,0.169401,0.161917,0.8691201706971469,0.9290115496198588,0.8129767407971628,0.8968418871603373,0.8873538992720593,0.9065349676783687
42,0.169975,0.166762,0.8650282390455167,0.9266451338174919,0.8085291183637983,0.8941289472798599,0.8695416048762447,0.9201472249028649
43,0.174555,0.165435,0.8673821408546034,0.9280081432506636,0.8110999035964724,0.8956986878369265,0.8793916331944478,0.9126219509894892
44,0.167563,0.167361,0.8642030777954701,0.9261476985666406,0.8070932810653715,0.8932502705002031,0.8719210500398192,0.9156491829788438
45,0.165720,0.168286,0.8633016889629062,0.9256134597500769,0.8058038115528786,0.8924599742204968,0.8715135461375627,0.9144380736204156
46,0.172852,0.167336,0.8660944832131694,0.9272285679108829,0.8087130424470059,0.8942414008945264,0.8849881061976427,0.9036902421464243
47,0.177062,0.166236,0.8656573929270222,0.9270255470848205,0.8096706174974099,0.894826505629076,0.8672349308640703,0.9242314574487158
48,0.168975,0.167834,0.865199816305684,0.9266855842501944,0.8070492427959173,0.8932232987156763,0.8889828027400645,0.8975044433773108
49,0.168948,0.169683,0.8646309403505418,0.9263617300772184,0.8065983868751613,0.892947090770206,0.8844508662716583,0.9016081316354636
50,0.170758,0.173278,0.8626841379114393,0.92525371778508,0.805106037154626,0.8920318480832383,0.8692609671835939,0.9160278183852223
51,0.162572,0.166444,0.8666772619356213,0.9275822682348979,0.8098114110654832,0.8949124821671071,0.8822385470375126,0.9079558634067885
52,0.168648,0.169511,0.8664598482517496,0.9274412395724765,0.8091428005838038,0.8945040715665963,0.8862645678117147,0.902898216515462
53,0.158961,0.165693,0.8666865483430948,0.9275859301192628,0.809772677490551,0.894888830583286,0.8828408465164851,0.9072701979983743
54,0.160241,0.165803,0.8675342000850592,0.9280523377031488,0.8100165903012225,0.8950377522964247,0.8947978734330578,0.8952777598085087
55,0.162995,0.179898,0.8589772018187452,0.9230347131303414,0.799434647822745,0.8885397964188737,0.8714421048279647,0.9063218280796859
56,0.160855,0.168931,0.8638379687417104,0.9259091884498023,0.8059482684984521,0.8925485658219371,0.878567974479043,0.9069812963889503
57,0.160950,0.170511,0.8616126074713893,0.9245967246882976,0.8030038998218996,0.890740058744432,0.8748517636600337,0.9072161271857291
58,0.155619,0.169042,0.8653748058403881,0.9268347717073893,0.8085855578546174,0.8941634575626918,0.8744563181884252,0.9147793344986738
59,0.155121,0.169830,0.8625551102355276,0.9251500718335082,0.8041692307263066,0.8914565408063977,0.8773093533783488,0.9060674717116741
60,0.162679,0.172375,0.8630021444380127,0.9254311618750504,0.8052460646592002,0.8921177898384914,0.8727648956778125,0.9123484183448998
61,0.154771,0.172371,0.8642180122833722,0.9261383767494868,0.8066026016827998,0.8929496735269526,0.8775265245410308,0.9089246670628137
62,0.159840,0.175749,0.8616042676499767,0.9245752437871428,0.8025399470928849,0.8904545481915246,0.8797965583823273,0.9013739295690644
63,0.155724,0.165860,0.866556963343533,0.9275241645243535,0.8100099512986475,0.895033699364449,0.8779729091870176,0.912770680653729
64,0.153397,0.165567,0.8667527687347177,0.9276336013189725,0.8101121676622761,0.895096096402158,0.8800766222089298,0.910637119040038
