epoch,train_loss,val_loss,iou,dice,precision,recall,threshold,lr
1,0.454091,0.275449,0.7598,0.8635,0.8451,0.8828,0.65,0.00007999
2,0.296988,0.224305,0.7779,0.8751,0.8567,0.8942,0.70,0.00007995
3,0.255891,0.209001,0.7770,0.8745,0.8626,0.8868,0.70,0.00007988
4,0.241144,0.193787,0.7971,0.8871,0.8720,0.9027,0.70,0.00007978
5,0.229554,0.184043,0.8019,0.8900,0.8769,0.9036,0.70,0.00007966
6,0.217298,0.195459,0.7935,0.8848,0.8476,0.9255,0.70,0.00007951
7,0.214366,0.180607,0.8031,0.8908,0.8746,0.9077,0.70,0.00007933
8,0.212824,0.178165,0.8044,0.8916,0.8869,0.8964,0.65,0.00007913
9,0.205657,0.179476,0.8085,0.8941,0.8851,0.9033,0.70,0.00007890
10,0.201676,0.178148,0.8042,0.8914,0.8819,0.9012,0.65,0.00007864
11,0.203285,0.182707,0.8020,0.8901,0.8837,0.8966,0.65,0.00007835
12,0.198706,0.181477,0.8030,0.8907,0.8744,0.9077,0.70,0.00007804
13,0.193414,0.169992,0.8115,0.8960,0.8891,0.9029,0.65,0.00007771
14,0.193901,0.172546,0.8104,0.8953,0.8834,0.9075,0.65,0.00007735
15,0.189767,0.176263,0.8071,0.8933,0.8829,0.9039,0.70,0.00007696
16,0.190547,0.176701,0.8054,0.8922,0.8873,0.8971,0.70,0.00007655
17,0.188517,0.172254,0.8089,0.8943,0.8889,0.8999,0.65,0.00007611
18,0.183773,0.175785,0.8029,0.8906,0.8853,0.8960,0.60,0.00007565
19,0.184314,0.184457,0.7973,0.8872,0.8721,0.9029,0.70,0.00007516
20,0.183908,0.174907,0.8064,0.8928,0.8875,0.8981,0.70,0.00007465
21,0.179487,0.176565,0.8057,0.8924,0.8833,0.9018,0.70,0.00007411
22,0.178657,0.175812,0.8029,0.8907,0.8816,0.9000,0.55,0.00007355
23,0.177630,0.184688,0.7955,0.8861,0.8736,0.8989,0.70,0.00007297
24,0.175056,0.172643,0.8072,0.8933,0.8872,0.8996,0.55,0.00007237
25,0.172996,0.180529,0.8024,0.8904,0.8714,0.9102,0.70,0.00007174
26,0.168969,0.184970,0.7946,0.8855,0.8803,0.8908,0.60,0.00007110
27,0.172243,0.183710,0.7976,0.8874,0.8840,0.8908,0.60,0.00007043
28,0.170233,0.192794,0.7917,0.8837,0.8655,0.9027,0.70,0.00006974
29,0.169054,0.192253,0.7895,0.8824,0.8765,0.8883,0.60,0.00006903
30,0.169771,0.184316,0.7946,0.8855,0.8826,0.8885,0.55,0.00006830
31,0.166255,0.199083,0.7885,0.8817,0.8787,0.8848,0.70,0.00006755
32,0.164755,0.188208,0.7954,0.8861,0.8817,0.8905,0.50,0.00006678
33,0.164898,0.185435,0.7974,0.8873,0.8834,0.8913,0.60,0.00006600
34,0.164097,0.186961,0.7948,0.8857,0.8803,0.8911,0.70,0.00006519
35,0.160818,0.181972,0.8002,0.8890,0.8829,0.8952,0.65,0.00006437
36,0.161286,0.182881,0.7979,0.8876,0.8803,0.8950,0.60,0.00006353
37,0.159515,0.186897,0.7975,0.8874,0.8818,0.8930,0.50,0.00006268
38,0.159043,0.184055,0.7994,0.8885,0.8873,0.8898,0.70,0.00006181
39,0.157276,0.189923,0.7944,0.8854,0.8777,0.8932,0.60,0.00006092
40,0.158850,0.186922,0.7964,0.8867,0.8819,0.8915,0.65,0.00006002
41,0.157264,0.193718,0.7920,0.8840,0.8707,0.8976,0.70,0.00005911
42,0.156614,0.189759,0.7964,0.8867,0.8838,0.8896,0.60,0.00005819
43,0.154326,0.193623,0.7931,0.8846,0.8775,0.8918,0.60,0.00005725
