Epoch,Train_Loss,Val_Loss,Val_Dice,Val_IoU,Val_Acc,Val_Pre,Val_Rec,Sweep_Val_Dice,Sweep_Threshold,LR,Encoder_Trainable
1,0.361124,0.304620,0.832093,0.712466,0.899719,0.760461,0.918625,0.848622,0.75,"0.00005999,0.00005999",1
2,0.288256,0.277426,0.831449,0.711521,0.895050,0.735036,0.956973,0.860778,0.80,"0.00005994,0.00005994",1
3,0.276493,0.256536,0.862244,0.757846,0.919679,0.804206,0.929310,0.868155,0.65,"0.00005987,0.00005987",1
4,0.265954,0.317932,0.790099,0.653028,0.860009,0.664589,0.974053,0.841989,0.80,"0.00005976,0.00005976",1
5,0.262667,0.287770,0.834914,0.716612,0.896905,0.736437,0.963794,0.858270,0.80,"0.00005963,0.00005963",1
6,0.258756,0.262341,0.841189,0.725907,0.901988,0.748765,0.959642,0.864214,0.80,"0.00005947,0.00005947",1
7,0.251568,0.247171,0.859637,0.753828,0.916344,0.786991,0.947059,0.874969,0.75,"0.00005928,0.00005928",1
8,0.247976,0.246753,0.861504,0.756704,0.917820,0.791610,0.944937,0.874726,0.75,"0.00005906,0.00005906",1
9,0.245887,0.239588,0.866376,0.764253,0.921365,0.801673,0.942439,0.879755,0.75,"0.00005881,0.00005881",1
10,0.241977,0.258083,0.852622,0.743105,0.910459,0.768422,0.957545,0.868614,0.75,"0.00005853,0.00005853",1
11,0.238740,0.239999,0.864730,0.761696,0.919802,0.795137,0.947673,0.878496,0.75,"0.00005823,0.00005823",1
12,0.241036,0.234334,0.870952,0.771404,0.924722,0.812002,0.939131,0.879880,0.70,"0.00005790,0.00005790",1
13,0.234636,0.259208,0.851139,0.740854,0.909059,0.763723,0.961152,0.872957,0.80,"0.00005754,0.00005754",1
14,0.231712,0.261819,0.842455,0.727794,0.903012,0.751363,0.958681,0.870713,0.80,"0.00005715,0.00005715",1
15,0.231061,0.243519,0.867306,0.765701,0.922388,0.806745,0.937697,0.875357,0.70,"0.00005674,0.00005674",1
16,0.228843,0.254002,0.860558,0.755245,0.916461,0.784473,0.952987,0.875358,0.75,"0.00005630,0.00005630",1
17,0.226049,0.249356,0.870217,0.770252,0.925170,0.819622,0.927470,0.873828,0.65,"0.00005583,0.00005583",1
18,0.228544,0.248548,0.868832,0.768084,0.923366,0.808936,0.938307,0.877028,0.70,"0.00005534,0.00005534",1
19,0.221901,0.263993,0.851910,0.742023,0.909995,0.767567,0.957075,0.870720,0.80,"0.00005482,0.00005482",1
20,0.219822,0.249939,0.865948,0.763588,0.921251,0.802475,0.940326,0.874263,0.75,"0.00005428,0.00005428",1
21,0.219755,0.264586,0.854070,0.745307,0.913967,0.789075,0.930733,0.859341,0.70,"0.00005372,0.00005372",1
22,0.217925,0.250463,0.857808,0.751019,0.913907,0.775240,0.960061,0.877390,0.80,"0.00005313,0.00005313",1
23,0.217870,0.260763,0.854125,0.745391,0.913322,0.783929,0.938128,0.865983,0.75,"0.00005252,0.00005252",1
24,0.216995,0.244063,0.869330,0.768862,0.923099,0.804372,0.945701,0.879267,0.75,"0.00005188,0.00005188",1
25,0.214444,0.249176,0.868242,0.767163,0.925330,0.830529,0.909544,0.870314,0.60,"0.00005123,0.00005123",1
26,0.210763,0.256178,0.857681,0.750824,0.914618,0.780950,0.951133,0.873553,0.80,"0.00005055,0.00005055",1
27,0.210911,0.254132,0.867728,0.766360,0.921896,0.800623,0.947110,0.875917,0.75,"0.00004986,0.00004986",1
